Veracruz,Puebla,Chiapas,Oaxaca,Guerrero,Otro (especifique),Municipio,Nombre de localidad más cercana a la finca,Arábica,Robusta,Precio mínimo por Kilo de fruto o cereza convencional,Precio mínimo por Kilo de pergamino lavado convencional,Precio mínimo por Kilo de natural convencional,"Precio mínimo por Kilo de verde, oro, morteado convencional",Precio máximo por Kilo de fruto o cereza convencional,Precio máximo por Kilo de pergamino lavado convencional,Precio máximo por Kilo de natural convencional,"Precio máximo por Kilo de verde, oro, morteado convencional",Precio mínimo por Kilo de pergamino lavado especial,Precio mínimo por Kilo de pergamino honey especial,Precio mínimo por Kilo de pergamino semilavado especial,Precio mínimo por Kilo de natural especial,"Precio mínimo por Kilo de café verde, oro, morteado especial",Precio máximo por Kilo de Pergamino lavado especial,Precio máximo por Kilo de pergamino honey especial,Precio máximo por Kilo de pergamino semilavado especial,Precio máximo por Kilo de natural especial,"Precio máximo por Kilo de café verde, oro o morteado especial"
,,,Oaxaca,,,Asunción Cacalotepec,San Jorge Casa Grande,Arábica,,0.0,,,,0.0,,,,100.0,,,,,120.0,,,,
,,,Oaxaca,,,Asunción Cacalotepec,San Jorge Casa Grande,Arábica,,,100.0,,,,120.0,,,,,,,,,,,,
,,,Oaxaca,,,Santa María Alotepec,San Isidro Huayapam,Arábica,,,100.0,,,,120.0,,,,,,,,,,,,
,,,Oaxaca,,,Santa María Alotepec,San Isidro Huayapam,Arábica,,,100.0,,,,120.0,,,,,,,,,,,,
,,,Oaxaca,,,Santa María Alotepec,San Isidro Huayapam,Arábica,,,100.0,,,,120.0,,,,,,,,,,,,
,,,Oaxaca,,,San Isidro Huayapam,Estancia de Morelos,Arábica,,,26.0,,,,52.0,,,,,,,,,,,,
,,,Oaxaca,,,San Isidro Huayapam,Estancia de Morelos,Arábica,,13.0,26.0,,,35.0,91.0,,,,,,,,,,,,
,,,Oaxaca,,,Asunción Cacalotepec,San Antonio Tlaxcaltepec,Arábica,,,100.0,,,,120.0,,,,,,,,,,,,
,,,Oaxaca,,,Asunción Cacalotepec,San Jorge Casa Grande,Arábica,,,34.0,,,,60.0,,,,,,,,,,,,
,,,Oaxaca,,,San Isidro Huayapam,Estancia de Morelos,Arábica,,,43.0,,,,70.0,,,,,,,,,,,,
,,,Oaxaca,,,San Isidro Huayapam,Estancia de Morelos,Arábica,,,52.0,,,,87.0,,,,,,,,,,,,
,,,Oaxaca,,,San Isidro Huayapam,Estancia de Morelos,Arábica,,,50.0,,,,80.0,,,,,,,,,,,,
,,,Oaxaca,,,San Isidro Huayapam,Estancia de Morelos,Arábica,,,52.0,,,,80.0,,,,,,,,,,,,
,,,Oaxaca,,,Asunción Cacalotepec,San Jorge Casa Grande,Arábica,,,48.0,,,,72.0,,,,,,,,,,,,
,,,Oaxaca,,,Asunción Cacalotepec,San Antonio Tlaxcaltepec,Arábica,,,54.0,,,,95.0,,,,,,,,,,,,
,,,Oaxaca,,,San Miguel del Puerto,Arroyo Piedra,Arábica,,15.0,54.0,,,33.0,87.0,,,,,,,,,,,,
,,,Oaxaca,,,San Miguel del Puerto,Arroyo Piedra,Arábica,,,40.0,,50.0,,65.0,,100.0,,,,,,,,,,
